type,POSITIVE,NEGATIVE
infj,0.3769792716280409, 0.6230207283719591
intj,0.3417217396323338,0.6582782603676661
infp,0.6104994415190681,0.38950055848093185
intp,0.4888826425774435,0.5111173574225565
entj,0.4116573636753972, 0.5883426363246028
enfp,0.4944260715302569, 0.5055739284697431
entp,0.4300065516488316, 0.5699934483511684
enfj,0.4985552344965548, 0.5014447655034452
isfj,0.4771436683702442, 0.5228563316297559
istj,0.4259340659340659, 0.5740659340659341
istp,0.44061982493494206, 0.559380175065058
isfp,0.4957057694250783, 0.5042942305749217
esfj,0.5251608021188043, 0.4748391978811956
estj,0.5369718309859155, 0.4630281690140845
estp,0.4935088681660267, 0.5064911318339733
esfp,0.5205479452054794, 0.4794520547945205

